Month,Value,Type
2023-01-01 00:00:00,14518.055,Actual
2023-02-01 00:00:00,4519.892,Actual
2023-03-01 00:00:00,56933.909,Actual
2023-04-01 00:00:00,28295.345,Actual
2023-05-01 00:00:00,26319.767,Actual
2023-06-01 00:00:00,34669.4796,Actual
2023-07-01 00:00:00,33946.393,Actual
2023-08-01 00:00:00,28918.3385,Actual
2023-09-01 00:00:00,82670.42880000001,Actual
2023-10-01 00:00:00,32413.339,Actual
2023-11-01 00:00:00,78826.9567,Actual
2023-12-01 00:00:00,72008.3085,Actual
2024-01-01 00:00:00,18461.9156,Actual
2024-02-01 00:00:00,11951.411,Actual
2024-03-01 00:00:00,39978.628,Actual
2024-04-01 00:00:00,34195.2085,Actual
2024-05-01 00:00:00,30246.946500000002,Actual
2024-06-01 00:00:00,24797.292,Actual
2024-07-01 00:00:00,28765.325,Actual
2024-08-01 00:00:00,37057.0042,Actual
2024-09-01 00:00:00,64627.046,Actual
2024-10-01 00:00:00,31407.1335,Actual
2024-11-01 00:00:00,75972.5635,Actual
2024-12-01 00:00:00,75532.5572,Actual
2025-01-01 00:00:00,18830.331,Actual
2025-02-01 00:00:00,22978.815000000002,Actual
2025-03-01 00:00:00,53031.069,Actual
2025-04-01 00:00:00,38829.159,Actual
2025-05-01 00:00:00,57042.838,Actual
2025-06-01 00:00:00,40937.148,Actual
2025-07-01 00:00:00,40300.498999999996,Actual
2025-08-01 00:00:00,31716.814300000002,Actual
2025-09-01 00:00:00,73521.6629,Actual
2025-10-01 00:00:00,59831.001000000004,Actual
2025-11-01 00:00:00,79411.9658,Actual
2025-12-01 00:00:00,97502.277,Actual
2026-01-01 00:00:00,44259.214,Actual
2026-02-01 00:00:00,20301.1334,Actual
2026-03-01 00:00:00,60728.4808,Actual
2026-04-01 00:00:00,36779.0361,Actual
2026-05-01 00:00:00,45155.4822,Actual
2026-06-01 00:00:00,53056.0777,Actual
2026-07-01 00:00:00,45989.496,Actual
2026-08-01 00:00:00,64129.758,Actual
2026-09-01 00:00:00,88064.532,Actual
2026-10-01 00:00:00,83474.7832,Actual
2026-11-01 00:00:00,118454.505,Actual
2026-12-01 00:00:00,85175.0328,Actual
2027-01-31,51139.85,Forecast
2027-02-28,43083.29,Forecast
2027-03-31,77512.39,Forecast
2027-04-30,62985.24,Forecast
2027-05-31,70405.37,Forecast
2027-06-30,67039.66,Forecast
2027-07-31,69126.03,Forecast
2027-08-31,68886.41,Forecast
2027-09-30,110330.55,Forecast
2027-10-31,80147.94,Forecast
2027-11-30,117875.72,Forecast
2027-12-31,120881.74,Forecast
